Cohort_and_panel,Target,Task_type,Figure_primary_metric,ROC_AUC_or_Pearson_r_demo_mean_sd,ROC_AUC_or_Pearson_r_embeddings_mean_sd,R2_demo_mean_sd,R2_embeddings_mean_sd,F1_demo_mean_sd,F1_embeddings_mean_sd,p_combined_vs_demo,BH_FDR_q,N_positive_over_N_participants_baseline,Significance_stars_demo_vs_emb
HPP sleep cohort — current diagnoses,Hypertension,classification,ROC AUC,0.67 ± 0.00,0.74 ± 0.00,,,0.10 ± 0.02,0.19 ± 0.01,3.81e-05,0.00201704,393/3293,***
HPP sleep cohort — current diagnoses,Anxiety,classification,ROC AUC,0.53 ± 0.00,0.62 ± 0.01,,,0.04 ± 0.02,0.03 ± 0.00,0.00680855,0.0400948,107/3293,**
HPP sleep cohort — current diagnoses,Heart valve disease,classification,ROC AUC,0.47 ± 0.01,0.57 ± 0.02,,,0.00,0.00,0.00676412,0.0400948,51/3293,**
HPP sleep cohort — current measures,Total fat mass (DXA),regression,Pearson r,0.87 ± 0.00,0.90 ± 0.00,0.75 ± 0.00,0.81 ± 0.00,,,0.00120963,0.00189898,4416,**
HPP sleep cohort — current measures,Waist circumference,regression,Pearson r,0.85 ± 0.00,0.87 ± 0.00,0.73 ± 0.00,0.75 ± 0.00,,,0.00679558,0.00720332,5167,**
HPP sleep cohort — current measures,Android tissue fat percent (DXA),regression,Pearson r,0.72 ± 0.00,0.80 ± 0.00,0.49 ± 0.00,0.65 ± 0.00,,,2.40e-05,0.000181574,4416,***
HPP sleep cohort — current measures,Hand Grip Left,regression,Pearson r,0.74 ± 0.00,0.80 ± 0.00,0.53 ± 0.00,0.64 ± 0.00,,,9.86e-05,0.000452081,5135,***
HPP sleep cohort — current measures,Scanned VAT mass (DXA),regression,Pearson r,0.75 ± 0.00,0.79 ± 0.00,0.56 ± 0.00,0.62 ± 0.00,,,0.00105076,0.00185634,4212,**
HPP sleep cohort — current measures,Hand Grip Right,regression,Pearson r,0.74 ± 0.00,0.79 ± 0.00,0.53 ± 0.00,0.62 ± 0.00,,,1.81e-05,0.000160079,5135,***
HPP sleep cohort — current measures,RDI (SM),regression,Pearson r,0.36 ± 0.00,0.76 ± 0.00,0.02 ± 0.01,0.57 ± 0.00,,,1.73e-05,0.000160079,5119,***
HPP sleep cohort — current measures,AHI (SM),regression,Pearson r,0.43 ± 0.01,0.70 ± 0.00,0.09 ± 0.02,0.48 ± 0.00,,,0.000377255,0.000833104,5116,***
HPP sleep cohort — current measures,bt__hemoglobin,regression,Pearson r,0.61 ± 0.01,0.67 ± 0.00,0.34 ± 0.01,0.45 ± 0.00,,,0.00224867,0.00297948,3812,**
HPP sleep cohort — current measures,ODI (SM),regression,Pearson r,0.43 ± 0.01,0.63 ± 0.00,0.09 ± 0.01,0.40 ± 0.00,,,5.78e-05,0.0003441,5086,***
HPP sleep cohort — current measures,Total Bone Density,regression,Pearson r,0.54 ± 0.00,0.61 ± 0.00,0.25 ± 0.01,0.36 ± 0.00,,,0.000890882,0.00162816,4455,***
HPP sleep cohort — current measures,Sitting BP systolic,regression,Pearson r,0.41 ± 0.00,0.55 ± 0.00,0.08 ± 0.00,0.30 ± 0.00,,,5.29e-06,0.000160079,5167,***
HPP sleep cohort — current measures,Mean Oxygen Saturation (SM),regression,Pearson r,0.41 ± 0.00,0.55 ± 0.00,0.09 ± 0.00,0.29 ± 0.00,,,5.84e-05,0.0003441,5120,***
HPP sleep cohort — current measures,HDL cholesterol (BT),regression,Pearson r,0.38 ± 0.01,0.49 ± 0.00,0.03 ± 0.02,0.23 ± 0.00,,,0.00237846,0.00307459,3407,**
HPP sleep cohort — current measures,SleepEfficiancy,regression,Pearson r,0.04 ± 0.00,0.49 ± 0.00,-0.15 ± 0.01,0.23 ± 0.00,,,0.000102358,0.000452081,5169,***
HPP sleep cohort — current measures,Sitting BP diastolic,regression,Pearson r,0.27 ± 0.01,0.49 ± 0.00,-0.05 ± 0.01,0.23 ± 0.00,,,0.000631205,0.00128669,5167,***
HPP sleep cohort — current measures,Total Wake Time (SM),regression,Pearson r,0.03 ± 0.01,0.48 ± 0.00,-0.17 ± 0.00,0.23 ± 0.00,,,7.79e-05,0.00041301,5169,***
HPP sleep cohort — current measures,Snore DB,regression,Pearson r,0.20 ± 0.01,0.43 ± 0.00,-0.17 ± 0.01,0.17 ± 0.00,,,0.000190108,0.000559763,5123,***
HPP sleep cohort — current measures,Liver sound speed (US),regression,Pearson r,0.28 ± 0.00,0.39 ± 0.00,-0.05 ± 0.01,0.14 ± 0.00,,,1.53e-05,0.000160079,4633,***
HPP sleep cohort — current measures,ALT\GPT (BT),regression,Pearson r,0.33 ± 0.00,0.39 ± 0.00,-0.01 ± 0.01,0.14 ± 0.00,,,0.00154121,0.002269,3638,**
HPP sleep cohort — current measures,Carotid - intima media thickness (US),regression,Pearson r,0.30 ± 0.00,0.39 ± 0.01,0.00 ± 0.00,0.14 ± 0.01,,,0.000228958,0.000638672,4399,***
HPP sleep cohort — current measures,Triglycerides (BT),regression,Pearson r,0.24 ± 0.00,0.38 ± 0.00,-0.08 ± 0.01,0.14 ± 0.00,,,0.00114414,0.00189898,3482,**
HPP sleep cohort — current measures,Median daily caloric intake (DL),regression,Pearson r,0.22 ± 0.01,0.36 ± 0.00,-0.11 ± 0.00,0.12 ± 0.00,,,1.54e-05,0.000160079,5106,***
